[2022-05-14 01:34:39] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Builder.phpLine:369Message:No query results for model [App\Category] 61  
[2022-05-14 13:50:24] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:50:27] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:50:30] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:50:32] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:1287Message:Trying to get property 'unit' of non-object  
[2022-05-14 13:50:35] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:50:39] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:50:46] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:50:58] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:51:02] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:51:22] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:51:26] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:51:39] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:51:43] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:52:07] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:52:42] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:54:52] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:57:39] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:57:46] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
[2022-05-14 13:57:52] live.EMERGENCY: File:/home/660679.cloudwaysapps.com/brtqjgbuke/public_html/app/Utils/TransactionUtil.phpLine:535Message:Trying to get property 'enable_stock' of non-object  
